"Order ID,Order Date, Unit Cost , Price ,Order Qty,Channel,Promotion Name,Product Name,Product Sub Category,Product Category,State,Zone"
"7077,18/03/2013, 76.09 , 304.00 ,9,Store,New Year Promotion,Kekule SLR Camera M143 Grey,Digital SLR Cameras,Cameras and camcorders ,Imo,South East"
"117,23/02/2012, 7.49 , 12.99 ,8,Store,New Year Promotion,Kekule 512MB MP3 Player E51 Blue,MP4&MP3,Audio,Imo,South East"
"7018,11/01/2012, 10.12 , 159.99 ,9,Store,New Year Promotion,Kekule DVD 9-Inch Player Portable M300 Silver,Movie DVD,""Music, Movies and Audio Books"",Imo,South East"
"140,13/02/2014, 0.58 , 25.69 ,18,Store,Deeper Promotion,NT Bluetooth Stereo Headphones E52 Pink,Bluetooth Headphones,Audio,Delta,South South"
"491,17/01/2013, 108.51 , 304.00 ,9,Online,Hammartan Promotion,Kekule SLR Camera M143 Grey,Digital SLR Cameras,Cameras and camcorders ,Kwara,North Central"
"58,06/04/2014, 77.99 , 299.00 ,24,Online,Easter Promotion,SV Car Video TFT7 M7000 Silver,Car Video,TV and Video,Kwara,North Central"
"7085,27/08/2014, 154.99 , 699.00 ,10,Online,No Discount,Simpson Laptop15 M1501 Red,Laptops,Computers,Kwara,North Central"
"929,15/09/2012, 96.45 , 178.00 ,5,Online,No Discount,Fabrikam Social Videographer 1/2'' 3mm E300 White,Camcorders,Cameras and camcorders ,Kwara,North Central"
"1527,29/12/2012, 227.40 , 310.00 ,13,Online,Xmas Holiday Promotion,The Phone Company Smart phones Unlocked International M800 Gold,Smart phones & PDAs ,Cell phones,Kwara,North Central"
"7264,21/07/2013, 158.65 , 299.00 ,30,Online,No Discount,The Phone Company PDA Phone 3.5 inches M320 Silver,Smart phones & PDAs ,Cell phones,Kwara,North Central"
"1471,24/02/2012, 346.63 , 763.51 ,18,Online,Hammartan Promotion,""Simpson 42"""" LCD HDTV M55 Black"",Televisions,TV and Video,Kwara,North Central"
"845,17/06/2013, 192.84 , 588.00 ,24,Online,No Discount,""A. Datum SLR Camera 35"""" X358 Gold"",Digital SLR Cameras,Cameras and camcorders ,Kwara,North Central"
